,short_name,age,club,overall,potential,wage_eur,player_positions,international_reputation,skill_moves,pace,shooting,passing,dribbling,defending,physic,log_wage,age2
0,Cristiano Ronaldo,32,Real Madrid,94,94,565000,"LW, ST",5,5,90.0,93.0,82.0,90.0,33.0,80.0,13.244581010128577,1024
1,L. Messi,30,FC Barcelona,93,93,565000,RW,5,4,89.0,90.0,86.0,96.0,26.0,61.0,13.244581010128577,900
2,Neymar,25,Paris Saint-Germain,92,94,280000,LW,5,5,92.0,84.0,79.0,95.0,30.0,60.0,12.542544882151386,625
3,L. Suárez,30,FC Barcelona,92,92,510000,ST,5,4,82.0,90.0,79.0,87.0,42.0,81.0,13.142166004700508,900
4,R. Lewandowski,28,FC Bayern München,91,91,355000,ST,4,3,81.0,88.0,75.0,86.0,38.0,82.0,12.779873068457553,784
5,E. Hazard,26,Chelsea,90,91,295000,LW,4,4,90.0,82.0,84.0,92.0,32.0,66.0,12.594730635321957,676
6,Sergio Ramos,31,Real Madrid,90,90,310000,CB,4,3,76.0,63.0,71.0,71.0,88.0,83.0,12.644327576461329,961
7,G. Higuaín,29,Juventus,90,90,275000,ST,4,3,79.0,87.0,70.0,83.0,25.0,74.0,12.524526376648708,841
8,T. Kroos,27,Real Madrid,90,90,340000,"CM, CDM",4,3,56.0,81.0,89.0,81.0,73.0,70.0,12.736700896592344,729
9,K. De Bruyne,26,Manchester City,89,92,285000,"CAM, CM, RM",4,4,75.0,84.0,88.0,85.0,45.0,75.0,12.560244459250788,676
10,G. Chiellini,32,Juventus,89,89,225000,CB,4,2,74.0,46.0,56.0,59.0,90.0,85.0,12.323855681186558,1024
11,S. Agüero,29,Manchester City,89,89,325000,ST,4,4,87.0,88.0,75.0,89.0,23.0,72.0,12.691580461311874,841
12,G. Bale,27,Real Madrid,89,89,370000,RW,4,4,94.0,87.0,84.0,86.0,57.0,76.0,12.821258284620408,729
13,L. Modrić,31,Real Madrid,89,89,340000,"CM, CDM",4,4,73.0,75.0,86.0,89.0,72.0,65.0,12.736700896592344,961
14,A. Sánchez,28,Arsenal,89,89,265000,"LM, ST, LW, RM",4,4,86.0,84.0,80.0,89.0,40.0,78.0,12.487485104968359,784
15,P. Dybala,23,Juventus,88,93,215000,"CAM, ST",3,4,86.0,85.0,81.0,91.0,24.0,67.0,12.2783933071098,529
16,A. Griezmann,26,Atlético Madrid,88,91,150000,"ST, RW, LW",4,4,86.0,85.0,78.0,87.0,30.0,68.0,11.918390573078392,676
17,Thiago,26,FC Bayern München,88,90,225000,"CM, CAM, CDM",3,5,72.0,75.0,85.0,90.0,62.0,63.0,12.323855681186558,676
18,A. Robben,33,FC Bayern München,88,88,225000,"RM, RW",4,4,86.0,86.0,81.0,91.0,32.0,63.0,12.323855681186558,1089
19,Z. Ibrahimović,35,Manchester United,88,88,240000,ST,5,4,65.0,88.0,81.0,82.0,32.0,82.0,12.388394202324129,1225
20,Thiago Silva,32,Paris Saint-Germain,88,88,175000,CB,4,3,72.0,56.0,73.0,73.0,89.0,79.0,12.072541252905651,1024
21,M. Özil,28,Arsenal,88,88,265000,"CAM, RW",4,4,71.0,74.0,87.0,86.0,24.0,58.0,12.487485104968359,784
22,M. Hummels,28,FC Bayern München,88,88,215000,CB,4,2,64.0,58.0,75.0,71.0,89.0,76.0,12.2783933071098,784
23,D. Godín,31,Atlético Madrid,88,88,125000,CB,3,2,65.0,48.0,65.0,63.0,88.0,78.0,11.736069016284437,961
24,J. Boateng,28,FC Bayern München,88,88,215000,CB,4,2,75.0,50.0,72.0,67.0,88.0,84.0,12.2783933071098,784
25,L. Bonucci,30,Milan,88,88,210000,CB,3,2,68.0,54.0,70.0,70.0,87.0,81.0,12.254862809699606,900
26,P. Aubameyang,28,Borussia Dortmund,88,88,165000,ST,3,3,96.0,84.0,75.0,81.0,37.0,71.0,12.013700752882718,784
27,P. Pogba,24,Manchester United,87,92,195000,"CM, CDM",4,5,74.0,79.0,84.0,85.0,68.0,88.0,12.180754837545884,576
28,C. Eriksen,25,Tottenham Hotspur,87,91,165000,"CAM, RM, LM",3,4,75.0,78.0,88.0,84.0,47.0,63.0,12.013700752882718,625
29,M. Verratti,24,Paris Saint-Germain,87,91,130000,"CM, CDM",3,3,65.0,59.0,84.0,89.0,79.0,68.0,11.77528972943772,576
30,N. Kanté,26,Chelsea,87,90,190000,"CDM, CM",3,3,81.0,66.0,75.0,79.0,81.0,84.0,12.154779351142624,676
31,Piqué,30,FC Barcelona,87,87,240000,CB,4,2,65.0,61.0,69.0,65.0,86.0,76.0,12.388394202324129,900
32,David Silva,31,Manchester City,87,87,220000,"CAM, CM, LM",4,4,68.0,72.0,87.0,87.0,38.0,61.0,12.301382825334498,961
33,I. Rakitić,29,FC Barcelona,87,87,275000,CM,4,3,65.0,84.0,86.0,83.0,60.0,66.0,12.524526376648708,841
34,M. Hamšík,29,Napoli,87,87,130000,CM,3,3,74.0,80.0,84.0,84.0,68.0,71.0,11.77528972943772,841
35,Marcelo,29,Real Madrid,87,87,250000,LB,4,4,78.0,69.0,80.0,85.0,82.0,79.0,12.429216196844383,841
36,E. Cavani,30,Paris Saint-Germain,87,87,160000,ST,4,3,77.0,83.0,72.0,80.0,42.0,81.0,11.982929094215963,900
37,A. Vidal,30,FC Bayern München,87,87,160000,"CDM, CM",4,3,75.0,81.0,80.0,79.0,83.0,84.0,11.982929094215963,900
38,R. Lukaku,24,Manchester United,86,90,210000,ST,3,3,83.0,85.0,70.0,74.0,34.0,84.0,12.254862809699606,576
39,Isco,25,Real Madrid,86,90,250000,"CM, CAM, RM, LM",3,4,71.0,83.0,82.0,89.0,54.0,62.0,12.429216196844383,625
40,H. Kane,23,Tottenham Hotspur,86,90,165000,ST,3,3,71.0,87.0,72.0,78.0,42.0,83.0,12.013700752882718,529
41,Coutinho,25,Liverpool,86,89,205000,"LW, CAM",3,4,82.0,78.0,83.0,88.0,35.0,64.0,12.230765258120545,625
42,J. Rodríguez,25,FC Bayern München,86,89,250000,"CAM, CM, RM",4,4,76.0,85.0,85.0,83.0,40.0,68.0,12.429216196844383,625
43,Alex Sandro,26,Juventus,86,88,175000,"LB, LM",3,3,86.0,65.0,77.0,81.0,81.0,84.0,12.072541252905651,676
44,D. Alaba,25,FC Bayern München,86,88,150000,"LB, CB, CM",4,3,86.0,73.0,81.0,80.0,82.0,74.0,11.918390573078392,625
45,T. Alderweireld,28,Tottenham Hotspur,86,87,165000,CB,3,2,66.0,58.0,72.0,65.0,87.0,80.0,12.013700752882718,784
46,Pepe,34,Beşiktaş JK,86,86,94000,CB,4,2,68.0,51.0,57.0,61.0,86.0,80.0,11.451050061252142,1156
47,F. Ribéry,34,FC Bayern München,86,86,175000,"LM, LW",4,5,82.0,76.0,83.0,90.0,25.0,58.0,12.072541252905651,1156
48,Cesc Fàbregas,30,Chelsea,86,86,210000,"CM, CDM, CAM",4,3,63.0,77.0,88.0,80.0,61.0,64.0,12.254862809699606,900
49,K. Benzema,29,Real Madrid,86,86,295000,ST,4,4,78.0,84.0,77.0,82.0,22.0,74.0,12.594730635321957,841
50,Miranda,32,Inter,86,86,115000,CB,3,2,71.0,49.0,60.0,67.0,88.0,77.0,11.652687407345388,1024
51,Sokratis,29,Borussia Dortmund,86,86,110000,CB,3,2,78.0,52.0,55.0,60.0,87.0,84.0,11.608235644774552,841
52,D. Mertens,30,Napoli,86,86,135000,"CF, LW, ST",3,4,90.0,82.0,79.0,89.0,36.0,55.0,11.813030057420567,900
53,Javi Martínez,28,FC Bayern München,86,86,165000,"CB, CDM",3,2,50.0,60.0,69.0,65.0,86.0,80.0,12.013700752882718,784
54,R. Nainggolan,29,Roma,86,86,130000,"CM, CAM",3,3,78.0,80.0,78.0,82.0,81.0,83.0,11.77528972943772,841
55,Diego Costa,28,Chelsea,86,86,235000,ST,4,3,75.0,83.0,65.0,76.0,40.0,88.0,12.367340793126296,784
56,David Luiz,30,Chelsea,86,86,190000,CB,4,3,70.0,64.0,74.0,71.0,84.0,81.0,12.154779351142624,900
57,M. Reus,28,Borussia Dortmund,86,86,120000,"LM, ST, LW",4,4,88.0,87.0,84.0,86.0,39.0,64.0,11.695247021764184,784
58,Sergio Busquets,28,FC Barcelona,86,86,250000,"CDM, CM",4,3,40.0,59.0,79.0,74.0,82.0,81.0,12.429216196844383,784
59,T. Müller,27,FC Bayern München,86,86,190000,"CF, RW, CAM, ST",4,3,77.0,82.0,77.0,78.0,46.0,71.0,12.154779351142624,729
60,R. Varane,24,Real Madrid,85,92,175000,CB,3,2,79.0,45.0,61.0,64.0,84.0,79.0,12.072541252905651,576
61,Y. Carrasco,23,Atlético Madrid,85,90,77000,"LM, RM",3,4,88.0,79.0,78.0,88.0,29.0,63.0,11.251560700835821,529
62,Casemiro,25,Real Madrid,85,89,195000,CDM,3,2,62.0,68.0,74.0,72.0,84.0,86.0,12.180754837545884,625
63,A. Lacazette,26,Arsenal,85,88,180000,ST,3,4,86.0,83.0,71.0,85.0,38.0,77.0,12.100712129872347,676
64,Azpilicueta,27,Chelsea,85,87,160000,"CB, RB, LB",3,3,79.0,55.0,75.0,74.0,86.0,78.0,11.982929094215963,729
65,I. Gündoğan,26,Manchester City,85,87,190000,"CM, CDM",3,4,71.0,74.0,83.0,87.0,64.0,71.0,12.154779351142624,676
